prompt,response,text
What information is available about Emiliano?,"Emiliano, a very hard cheese of the Italian Grana or Parmesan type, is
the same as Reggiano, according to some authorities. The cheese is
cylindrical and the sides may be either straight or slightly convex. It is
12 to 16 inches in diameter, 6 to 8/ 2 inches thick, and weighs from 44 to
66 pounds. The surface is colored dark and is oiled; the interior is light
yellow. The ﬂavor varies from mild to rather sharp, and the texture is
granular. Usually there are no eyes, but some cheeses have a few small
eyes, unevenly distributed. The curing period usually is about a year, but
it may be as long as 20 months for cheese made in the winter and 2 years
for cheese made in the spring. The aged cheese is used for grating. (See

Parmesan.) ^

Analysis: Moisture, 30 to 35 percent at 1 year; 20 to 30 percent at I
years; fat in the solids, 32 to 39 percent.","human:What information is available about Emiliano?
bot:Emiliano, a very hard cheese of the Italian Grana or Parmesan type, is
the same as Reggiano, according to some authorities. The cheese is
cylindrical and the sides may be either straight or slightly convex. It is
12 to 16 inches in diameter, 6 to 8/ 2 inches thick, and weighs from 44 to
66 pounds. The surface is colored dark and is oiled; the interior is light
yellow. The ﬂavor varies from mild to rather sharp, and the texture is
granular. Usually there are no eyes, but some cheeses have a few small
eyes, unevenly distributed. The curing period usually is about a year, but
it may be as long as 20 months for cheese made in the winter and 2 years
for cheese made in the spring. The aged cheese is used for grating. (See

Parmesan.) ^

Analysis: Moisture, 30 to 35 percent at 1 year; 20 to 30 percent at I
years; fat in the solids, 32 to 39 percent."
What information is available about Engadine?,"Engadine cheese is made in the Canton of Grisons, Switzerland, from
cow's whole milk. .","human:What information is available about Engadine?
bot:Engadine cheese is made in the Canton of Grisons, Switzerland, from
cow's whole milk. ."
"What information is available about Analysis: Moisture, 47.30 percent; fat, 11.40 percent; and protein, 36.34?",percent.,"human:What information is available about Analysis: Moisture, 47.30 percent; fat, 11.40 percent; and protein, 36.34?
bot:percent."
What information is available about English Dairy?,"English Dairy cheese is a very hard cheese that is made in the same
general way as Cheddar except that it is cooked much longer. It was made
some years ago, mostly in the United States, and was used in cooking.","human:What information is available about English Dairy?
bot:English Dairy cheese is a very hard cheese that is made in the same
general way as Cheddar except that it is cooked much longer. It was made
some years ago, mostly in the United States, and was used in cooking."
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,"43

fjpoisse

ﬁpoisse is a soft cheese made from whole or partly skimmed milk in the
Department of Cote-d'Or, France.","human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:43

fjpoisse

ﬁpoisse is a soft cheese made from whole or partly skimmed milk in the
Department of Cote-d'Or, France."
What information is available about Eriwani?,"Eriwani cheese, also known by diVerent local names such at Karab,
Tali, Kurini, Elisavetpolen, and Kasach, is made from fresh ewe's milk,
principally in the Caucasus. The milk is set at about 95° F. with enough
rennet to coagulate it in 20 minutes. The curd is broken up, put into a
sack to drain, and then pressed with stones until the whey stops running.
The cheese is salted in brine.","human:What information is available about Eriwani?
bot:Eriwani cheese, also known by diVerent local names such at Karab,
Tali, Kurini, Elisavetpolen, and Kasach, is made from fresh ewe's milk,
principally in the Caucasus. The milk is set at about 95° F. with enough
rennet to coagulate it in 20 minutes. The curd is broken up, put into a
sack to drain, and then pressed with stones until the whey stops running.
The cheese is salted in brine."
What information is available about Ervy?,"Ervy, a soft cheese resembling Camembert, is named for the village of
Ervy in the Department of Aube, France, where it is made. It is about
7 inches in diameter and 2^2 inches thick, and weighs about 4 pounds.","human:What information is available about Ervy?
bot:Ervy, a soft cheese resembling Camembert, is named for the village of
Ervy in the Department of Aube, France, where it is made. It is about
7 inches in diameter and 2^2 inches thick, and weighs about 4 pounds."
What information is available about Farm?,"Farm cheese as originally made on farms in France is essentially the
same as Cottage cheese. It is known by several diVerent names, including
Fromage a, la Pie, Mou, Maigre, and Ferme. The making process is

simple. Whole or skim milk is curdled by souring, and the whey is poured
oV. Sometimes the curd is enclosed in cloth on which a board and weight
are placed, to hasten drainage. The curd is kneaded to further expel whey.
Then salt and sometimes sweet cream are mixed with the curd, and it is
molded into various .sizes and shapes. The cheese usually is consumed
locally, either while fresh or after curing.

In the United States, Farm cheese, which is known also as Farmer cheese
and Pressed cheese and, erroneously, as Cream cheese, is a ﬁrm, pressed
cheese made on farms. There is considerable variation in the cheese because
the method of making diVers in diVerent localities and may not be uniform
on all farms in one locality. Usually whole milk is used, but sometimes the
milk is partly skimmed. Starter (which may be buttermilk of good ﬂavor)
is added to the milk at room temperature or at a temperature as high as
86° F. Rennet may be added, or the milk may be coagulated by souring.
The coagulation period may be as long as 5 or 6 hours, or overnight. The
curd is cut into coarse particles and stirred, and it may be heated to about
90°. The whey is drained oV and the curd is stirred and salted. Then the
curd is placed in bags or in cloth-lined metal hoops and pressed overnight.
The next morning the cheese is removed from the bag or hoop and wrapped
in parchment if it is to be eaten without much curing. If it is to be cured,
the pressed cheese is dried and then coated by dipping in hot paraVin. It is
cured in a moist cellar at a temperature not over 60°. The cheese should
have a clean, mild ﬂavor and should slice without crumbling. The yield is
about 10 pounds per 100 pounds of whole milk and about 9 pounds per
100 pounds of partly-skimmed milk.

44 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE","human:What information is available about Farm?
bot:Farm cheese as originally made on farms in France is essentially the
same as Cottage cheese. It is known by several diVerent names, including
Fromage a, la Pie, Mou, Maigre, and Ferme. The making process is

simple. Whole or skim milk is curdled by souring, and the whey is poured
oV. Sometimes the curd is enclosed in cloth on which a board and weight
are placed, to hasten drainage. The curd is kneaded to further expel whey.
Then salt and sometimes sweet cream are mixed with the curd, and it is
molded into various .sizes and shapes. The cheese usually is consumed
locally, either while fresh or after curing.

In the United States, Farm cheese, which is known also as Farmer cheese
and Pressed cheese and, erroneously, as Cream cheese, is a ﬁrm, pressed
cheese made on farms. There is considerable variation in the cheese because
the method of making diVers in diVerent localities and may not be uniform
on all farms in one locality. Usually whole milk is used, but sometimes the
milk is partly skimmed. Starter (which may be buttermilk of good ﬂavor)
is added to the milk at room temperature or at a temperature as high as
86° F. Rennet may be added, or the milk may be coagulated by souring.
The coagulation period may be as long as 5 or 6 hours, or overnight. The
curd is cut into coarse particles and stirred, and it may be heated to about
90°. The whey is drained oV and the curd is stirred and salted. Then the
curd is placed in bags or in cloth-lined metal hoops and pressed overnight.
The next morning the cheese is removed from the bag or hoop and wrapped
in parchment if it is to be eaten without much curing. If it is to be cured,
the pressed cheese is dried and then coated by dipping in hot paraVin. It is
cured in a moist cellar at a temperature not over 60°. The cheese should
have a clean, mild ﬂavor and should slice without crumbling. The yield is
about 10 pounds per 100 pounds of whole milk and about 9 pounds per
100 pounds of partly-skimmed milk.

44 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE"
What information is available about Feta?,"Feta, a white, so-called pickled cheese, is the principal soft cheese made
by the shepherds in the mountainous region near Athens, Greece. It usually
is made from ewe's milk but is sometimes made from goat's milk.

The fresh milk is poured into large containers, heated to about 95° F.,
and rennet is added. When ﬁrm, the curd is cut or broken. It is dipped
into bottomless wooden forms — about 4 feet long, 2 J/2 feet wide, and 8 inches
deep — that have been placed on a coarse cloth on a drain table or rack.
When the curd is suViciently ﬁrm, it is cut into blocks and dry salt is rubbed
on the surface. Later the same day the blocks are turned and salted again.
The next morning the blocks are cut into slices about an inch thick, and
these are salted and then packed either in paraVined wooden kegs that hold
from 100 to 170 pounds, or in smaller tin containers. The cheese is ready
to eat in about a month.

When made on a smaller scale, the curd may be dipped into a cloth bag
after the milk coagulates. The bag is twisted and worked to expel most
of the whey from the curd and then hung up to drain for a few hours or
overnight. The next morning the curd is taken out of the bag and cut into
slices about an inch thick. The slices are sprinkled liberally with dry salt.
About 24 hours later the curd is packed in wooden kegs. The cheese is

ready to eat in 4 or 5 days.","human:What information is available about Feta?
bot:Feta, a white, so-called pickled cheese, is the principal soft cheese made
by the shepherds in the mountainous region near Athens, Greece. It usually
is made from ewe's milk but is sometimes made from goat's milk.

The fresh milk is poured into large containers, heated to about 95° F.,
and rennet is added. When ﬁrm, the curd is cut or broken. It is dipped
into bottomless wooden forms — about 4 feet long, 2 J/2 feet wide, and 8 inches
deep — that have been placed on a coarse cloth on a drain table or rack.
When the curd is suViciently ﬁrm, it is cut into blocks and dry salt is rubbed
on the surface. Later the same day the blocks are turned and salted again.
The next morning the blocks are cut into slices about an inch thick, and
these are salted and then packed either in paraVined wooden kegs that hold
from 100 to 170 pounds, or in smaller tin containers. The cheese is ready
to eat in about a month.

When made on a smaller scale, the curd may be dipped into a cloth bag
after the milk coagulates. The bag is twisted and worked to expel most
of the whey from the curd and then hung up to drain for a few hours or
overnight. The next morning the curd is taken out of the bag and cut into
slices about an inch thick. The slices are sprinkled liberally with dry salt.
About 24 hours later the curd is packed in wooden kegs. The cheese is

ready to eat in 4 or 5 days."
What information is available about Filled?,"Filled cheese is made from milk or skim milk to which foreign fat has been
added. The foreign fat is added either by stirring it vigorously into the milk
and using enough rennet to coagulate the milk quickly, or by incorporating
the fat into the milk by homogenization. The cheese then is made in the
usual manner. Filled cheese, whether made in the United States or imported, is a taxable product, subject to various Federal and State laws
that deﬁne the conditions under which it can be manufactured and sold.","human:What information is available about Filled?
bot:Filled cheese is made from milk or skim milk to which foreign fat has been
added. The foreign fat is added either by stirring it vigorously into the milk
and using enough rennet to coagulate the milk quickly, or by incorporating
the fat into the milk by homogenization. The cheese then is made in the
usual manner. Filled cheese, whether made in the United States or imported, is a taxable product, subject to various Federal and State laws
that deﬁne the conditions under which it can be manufactured and sold."
What information is available about Fiore Sardo?,"Fiore Sardo, a hard, Italian cheese made from ewe's milk, is used as a
table cheese when immature and as a condiment when fully cured. (See
Sardo.)","human:What information is available about Fiore Sardo?
bot:Fiore Sardo, a hard, Italian cheese made from ewe's milk, is used as a
table cheese when immature and as a condiment when fully cured. (See
Sardo.)"
What information is available about Fl0tost?,"Fljzftost (F10 in Norwegian indicates cream) is a boiled-whey cheese made
in Norway. It is like Mysost except that it contains more fat — usually not
less than 20 percent of fat in the solids. (See Mysost.)","human:What information is available about Fl0tost?
bot:Fljzftost (F10 in Norwegian indicates cream) is a boiled-whey cheese made
in Norway. It is like Mysost except that it contains more fat — usually not
less than 20 percent of fat in the solids. (See Mysost.)"
What information is available about Flower?,"Flower cheese is a soft, cured cheese made in England from cow's whole
milk. It contains the petals of various kinds of ﬂowers, such as roses or

marigolds, which accounts for its name.","human:What information is available about Flower?
bot:Flower cheese is a soft, cured cheese made in England from cow's whole
milk. It contains the petals of various kinds of ﬂowers, such as roses or

marigolds, which accounts for its name."
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,45,"human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:45"
What information is available about Foggiano?,"Foggiano cheese, which resembles Cotronese and Moliterno, is made from
ewe's milk in Apulia, Italy.","human:What information is available about Foggiano?
bot:Foggiano cheese, which resembles Cotronese and Moliterno, is made from
ewe's milk in Apulia, Italy."
What information is available about Fontina?,"Fontina is a cooked-curd, whole-milk, semisoft to hard, slightly yellow
cheese with a delicate, nutty ﬂavor and a pleasing aroma. It is made from
ewe's milk in the Aosta Valley in Piedmont, Italy (it is said to be made also
from cow's milk in summer) , and from cow's milk in the United States. It
is round and ﬂat, like a Daisy (Cheddar), and weighs between 25 and 75
pounds — usually 33 to 44 pounds. A smaller style is called Midget Fontina.

According to Italian authorities, Fontina is similar to Montasio and Bitto,
and it is said to be similar also to Battelmatt.

Fontina is made by a method similar to that used in making Gruyere.
Color may be added to the milk, which is set with either rennet paste or
rennet extract. The cheese is salted in brine and cured for at least 2
months. It may have a few small, round eyes. The surface may be oiled.
When partly cured, it is used as a table cheese (it is frequently melted) ;
when fully cured, it is hard and is used for grating.

Analysis: Moisture, not more than 42 percent (usually 38 percent) ; fat,
28 to 31.5 percent (not less than 50 percent in the solids) .","human:What information is available about Fontina?
bot:Fontina is a cooked-curd, whole-milk, semisoft to hard, slightly yellow
cheese with a delicate, nutty ﬂavor and a pleasing aroma. It is made from
ewe's milk in the Aosta Valley in Piedmont, Italy (it is said to be made also
from cow's milk in summer) , and from cow's milk in the United States. It
is round and ﬂat, like a Daisy (Cheddar), and weighs between 25 and 75
pounds — usually 33 to 44 pounds. A smaller style is called Midget Fontina.

According to Italian authorities, Fontina is similar to Montasio and Bitto,
and it is said to be similar also to Battelmatt.

Fontina is made by a method similar to that used in making Gruyere.
Color may be added to the milk, which is set with either rennet paste or
rennet extract. The cheese is salted in brine and cured for at least 2
months. It may have a few small, round eyes. The surface may be oiled.
When partly cured, it is used as a table cheese (it is frequently melted) ;
when fully cured, it is hard and is used for grating.

Analysis: Moisture, not more than 42 percent (usually 38 percent) ; fat,
28 to 31.5 percent (not less than 50 percent in the solids) ."
What information is available about Forez?,"Forez cheese, sometimes called d'Ambert, is made in central France. It is
cylindrical in shape, about 10 inches in diameter and 6 inches thick. The
making process is said to be very crude, and the cheese is cured in a very
unusual way. It is placed on the ﬂoor of a cellar and covered with dirt,
over which water is permitted to trickle. Frequently the cheese is spoiled
by the undesirable molds and bacteria that grow on it. Good quality Forez
is said to resemble Roquefort in ﬂavor.","human:What information is available about Forez?
bot:Forez cheese, sometimes called d'Ambert, is made in central France. It is
cylindrical in shape, about 10 inches in diameter and 6 inches thick. The
making process is said to be very crude, and the cheese is cured in a very
unusual way. It is placed on the ﬂoor of a cellar and covered with dirt,
over which water is permitted to trickle. Frequently the cheese is spoiled
by the undesirable molds and bacteria that grow on it. Good quality Forez
is said to resemble Roquefort in ﬂavor."
What information is available about Formagelle?,"Formagelle is a small, soft cheese made from ewe's or goat's milk in the
mountains of northern Italy. It is made only in the spring or autumn ; it
may or may not be salted; and it is eaten while fresh.","human:What information is available about Formagelle?
bot:Formagelle is a small, soft cheese made from ewe's or goat's milk in the
mountains of northern Italy. It is made only in the spring or autumn ; it
may or may not be salted; and it is eaten while fresh."
What information is available about Formaggi di Pasta Filata?,"Formaggi di Pasta Filata (cheese from plastic curd) refers to a group of
Italian cheeses that are made by curdling the milk with rennet, warming
and fermenting the curd, heating it until it is plastic, drawing it into ropes
and then kneeding and shaping it while it is hot and plastic. This unusual
manipulation of the curd while it is being drawn and shaped results in
cheese that is free of holes or pockets of air and whey and that keeps well
even in warm climates. Some plastic-curd cheeses are eaten as table cheese

46 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

when fresh or after curing only a few months ; others are used for grating
after long curing which makes them hard and sharp in ﬂavor.

Among the best-known plastic-curd cheeses are : Provolone, Caciocavallo,
Moliterno, Mozzarella, Provatura, and Scamorze. Others are Katschkawalj
and Kaskaval, which are made in the Balkans; Oschtjepek and Parenica,
made in Slovakia; and Panedda, made in Sardinia. Many of these are
known locally by other names. A description of most of the diVerent kinds
is given under its speciﬁc name.","human:What information is available about Formaggi di Pasta Filata?
bot:Formaggi di Pasta Filata (cheese from plastic curd) refers to a group of
Italian cheeses that are made by curdling the milk with rennet, warming
and fermenting the curd, heating it until it is plastic, drawing it into ropes
and then kneeding and shaping it while it is hot and plastic. This unusual
manipulation of the curd while it is being drawn and shaped results in
cheese that is free of holes or pockets of air and whey and that keeps well
even in warm climates. Some plastic-curd cheeses are eaten as table cheese

46 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

when fresh or after curing only a few months ; others are used for grating
after long curing which makes them hard and sharp in ﬂavor.

Among the best-known plastic-curd cheeses are : Provolone, Caciocavallo,
Moliterno, Mozzarella, Provatura, and Scamorze. Others are Katschkawalj
and Kaskaval, which are made in the Balkans; Oschtjepek and Parenica,
made in Slovakia; and Panedda, made in Sardinia. Many of these are
known locally by other names. A description of most of the diVerent kinds
is given under its speciﬁc name."
What information is available about Formaggini?,"Formaggini (small cheese) is a descriptive term applied to several kinds
of small, Italian cheeses.

Formaggini di Lecco is a small, cylindrical, dessert cheese that is made in
the vicinity of Lecco, in Lombardy, from cow's milk to which some goat's
milk may be added. It may be eaten while fresh and sweet or at any stage
of ripening. When fully cured, it is very piquant. It is made by a method
similar to that used in making other soft cheeses. Rennet is added to the
warmed milk, which is then held at a temperature of 55° F. for 24 hours.
Then, with as little breaking of the curd as possible, the whey is drained
oV; this takes 3 or 4 hours. Salt is added to the curd, sometimes pepper,
sugar, and cinnamon, and occasionally oil and vinegar. The curd is put
into cylindrical molds about 1*4 inches in diameter and 2 inches deep.
Each cheese weighs about 2 ounces.

Formaggini di Montpellier is another soft, Italian cheese. It is made by
curdling milk with a rennet paste containing white wine, thistle blossoms,
and ﬂavoring materials.","human:What information is available about Formaggini?
bot:Formaggini (small cheese) is a descriptive term applied to several kinds
of small, Italian cheeses.

Formaggini di Lecco is a small, cylindrical, dessert cheese that is made in
the vicinity of Lecco, in Lombardy, from cow's milk to which some goat's
milk may be added. It may be eaten while fresh and sweet or at any stage
of ripening. When fully cured, it is very piquant. It is made by a method
similar to that used in making other soft cheeses. Rennet is added to the
warmed milk, which is then held at a temperature of 55° F. for 24 hours.
Then, with as little breaking of the curd as possible, the whey is drained
oV; this takes 3 or 4 hours. Salt is added to the curd, sometimes pepper,
sugar, and cinnamon, and occasionally oil and vinegar. The curd is put
into cylindrical molds about 1*4 inches in diameter and 2 inches deep.
Each cheese weighs about 2 ounces.

Formaggini di Montpellier is another soft, Italian cheese. It is made by
curdling milk with a rennet paste containing white wine, thistle blossoms,
and ﬂavoring materials."
What information is available about Fresa?,"Fresa is a mild, sweet, soft, cooked cheese made in Sardinia from cow's
milk. (See Cooked.)","human:What information is available about Fresa?
bot:Fresa is a mild, sweet, soft, cooked cheese made in Sardinia from cow's
milk. (See Cooked.)"
What information is available about Fribourg?,"Fribourg, made originally in Switzerland and now also in the Po valley
in Italy, is a hard cheese made by a method similar to that used in making
Swiss. It is a cooked-curd cheese, the curd being heated to 120° F. or
slightly higher. According to some authorities Fribourg is the same as
Spalen (or Sbrinz). (See Spalen.)

Friesian Clove

Friesian Clove is a spiced cheese made in the Netherlands from cow's
milk that may be partly skimmed. Cloves are added to the curd before it is
hooped. The cheeses are round and ﬂat and weigh between 20 and 40
pounds. (See Spiced cheese.)

The cheese is similar in analysis to Leyden, the moisture and fat content
depending on the extent to which the milk is skimmed. (See Leyden.)","human:What information is available about Fribourg?
bot:Fribourg, made originally in Switzerland and now also in the Po valley
in Italy, is a hard cheese made by a method similar to that used in making
Swiss. It is a cooked-curd cheese, the curd being heated to 120° F. or
slightly higher. According to some authorities Fribourg is the same as
Spalen (or Sbrinz). (See Spalen.)

Friesian Clove

Friesian Clove is a spiced cheese made in the Netherlands from cow's
milk that may be partly skimmed. Cloves are added to the curd before it is
hooped. The cheeses are round and ﬂat and weigh between 20 and 40
pounds. (See Spiced cheese.)

The cheese is similar in analysis to Leyden, the moisture and fat content
depending on the extent to which the milk is skimmed. (See Leyden.)"
What information is available about CHEESE VARIETIES AND DESCRIPTIONS?,47,"human:What information is available about CHEESE VARIETIES AND DESCRIPTIONS?
bot:47"
What information is available about Fromage a la Creme?,"Fromage a la Creme (French Cream Cheese) is a soft, rich cheese that
is consumed without ripening. Rennet is added to fresh whole milk, or
milk with cream added, and it is coagulated at a temperature of 70° F.
The coagulated curd is held for 20 to 24 hours; then the free whey is removed, and the curd is cut into slices and placed in a sieve to drain. After

draining is completed, the curd is kneaded to a paste. More cream may
be added, then seasoning, and the curd is placed in wicker molds. The
cheese is meant to be eaten while it is fresh; however, it will keep for
several days under refrigeration.","human:What information is available about Fromage a la Creme?
bot:Fromage a la Creme (French Cream Cheese) is a soft, rich cheese that
is consumed without ripening. Rennet is added to fresh whole milk, or
milk with cream added, and it is coagulated at a temperature of 70° F.
The coagulated curd is held for 20 to 24 hours; then the free whey is removed, and the curd is cut into slices and placed in a sieve to drain. After

draining is completed, the curd is kneaded to a paste. More cream may
be added, then seasoning, and the curd is placed in wicker molds. The
cheese is meant to be eaten while it is fresh; however, it will keep for
several days under refrigeration."
What information is available about Fromage Fort?,"Fromage Fort, which is one of several French cooked cheeses, is made in
the Department of Ain. Well drained, skim-milk curd is melted, and the
melted mass is put into a cloth and pressed. It is then buried in dry ashes
to remove as much whey as possible. Then the mass is grated ﬁne and,
after ripening for 8 to 10 days, milk, butter, salt, pepper, wine, etc., are
added, and the mixture is ripened further.

Cooked cheeses are made by similar but slightly diVerent methods in
other parts of France, and they are known by any one of several names.
Canquillote, sometimes spelled Cancoillotte and also called Fromagere, is
a cheese of this kind that is made in eastern France, as is also Fondue, made
in Lorraine. (See Canquillote.)","human:What information is available about Fromage Fort?
bot:Fromage Fort, which is one of several French cooked cheeses, is made in
the Department of Ain. Well drained, skim-milk curd is melted, and the
melted mass is put into a cloth and pressed. It is then buried in dry ashes
to remove as much whey as possible. Then the mass is grated ﬁne and,
after ripening for 8 to 10 days, milk, butter, salt, pepper, wine, etc., are
added, and the mixture is ripened further.

Cooked cheeses are made by similar but slightly diVerent methods in
other parts of France, and they are known by any one of several names.
Canquillote, sometimes spelled Cancoillotte and also called Fromagere, is
a cheese of this kind that is made in eastern France, as is also Fondue, made
in Lorraine. (See Canquillote.)"
What information is available about Friihstiick?,"Friihstiick is a small, Limburger-type cheese made in Germany from
whole or partly skimmed cow's milk. It usually is cylindrical in shape
and from 2yk to 3 inches in diameter. It may be eaten without much
curing, or it may be cured. During the curing process (which is similar to
Romadur) , yeasts and molds grow ﬁrst on the surface of the cheese, followed by the so-called red cheese bacteria and formation of a surface smear.

The cheese is wrapped in tinfoil or parchment. It may be wrapped when
it is partly cured, in which case curing is completed at a temperature of
42° to 45° F. This type of cheese is referred to by various names, such
as breakfast, dessert, appetite, and delicate cheese.

Analysis: Moisture, 40 to 60 percent; fat, 17 to 34 percent; and protein,
15 to 25 percent.","human:What information is available about Friihstiick?
bot:Friihstiick is a small, Limburger-type cheese made in Germany from
whole or partly skimmed cow's milk. It usually is cylindrical in shape
and from 2yk to 3 inches in diameter. It may be eaten without much
curing, or it may be cured. During the curing process (which is similar to
Romadur) , yeasts and molds grow ﬁrst on the surface of the cheese, followed by the so-called red cheese bacteria and formation of a surface smear.

The cheese is wrapped in tinfoil or parchment. It may be wrapped when
it is partly cured, in which case curing is completed at a temperature of
42° to 45° F. This type of cheese is referred to by various names, such
as breakfast, dessert, appetite, and delicate cheese.

Analysis: Moisture, 40 to 60 percent; fat, 17 to 34 percent; and protein,
15 to 25 percent."
What information is available about Gaiskasli?,"Gaiskasli is a soft cheese made from goat's milk in Germany and Switzerland. The milk is set with enough rennet to coagulate it in about 40
minutes. The curd is then broken up, stirred, and dipped into cylindrical
molds about 3 inches in diameter. Each mold is ﬁlled with enough curd
to make a cheese V/ 2 or 2 inches thick that weighs about half a pound.
The molds are set on mats which allow the whey to drain freely, and salt is

260172°— 53 4

48 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

sprinkled on the surface of the cheeses. After 2 days the cheeses are turned
and salted on the other surface. The cheese ripens in about 3 weeks and
is said to have a very pleasing ﬂavor.","human:What information is available about Gaiskasli?
bot:Gaiskasli is a soft cheese made from goat's milk in Germany and Switzerland. The milk is set with enough rennet to coagulate it in about 40
minutes. The curd is then broken up, stirred, and dipped into cylindrical
molds about 3 inches in diameter. Each mold is ﬁlled with enough curd
to make a cheese V/ 2 or 2 inches thick that weighs about half a pound.
The molds are set on mats which allow the whey to drain freely, and salt is

260172°— 53 4

48 AGRICULTURE HANDBOOK, U. S. DEPT. OF AGRICULTURE

sprinkled on the surface of the cheeses. After 2 days the cheeses are turned
and salted on the other surface. The cheese ripens in about 3 weeks and
is said to have a very pleasing ﬂavor."
What information is available about Gammelost?,"Gammelost, made from sour skim milk in Norway (principally in the
counties of Hardanger and Sogn), is a semisoft, blue-mold, ripened table
cheese, with a rather sharp, aromatic ﬂavor. The principal ripening molds
are species of Mucor, Rhizopus, and Penicillium. The rind is brownish
and the interior is brownish-yellow with a blue-green tint; the color darkens
with age. The cheese is round and ﬂat, usually about 6 inches in diameter,
and from 5 to 6 inches thick. It weighs usually between 6 and 9 pounds,
although some cheeses may weigh more than 25 pounds. The cheese is
made by one method in Hardanger and by a slightly diVerent method in
Sogn.

In the Hardanger method, about 0.5 percent of lactic starter is added
to skim milk and, after souring for a day or two at 66° F., it is put into a
vat and warmed slowly to 145°. After about 30 minutes at that temperature, the curd is dipped into cloth bags and pressed heavily. After pressing, the curd is removed from the bags, broken up, and packed in clothlined forms which then are covered and placed in boiling whey for 3/ 2
hours. This practically sterilizes the cheese and changes its texture. The
next day the cheese is removed from the forms and put in a warm place
for a day or two to dry, after which it is pierced with metal needles that
have been inoculated with a mold — Penicillium roquejorti, or a related
species — that develops a greenish-blue mold throughout the cheese. It is
then placed on shelves in a curing room which is maintained at a temperature of 50° to 55° and a relative humidity of 90 percent. A Mucor, which
is propagated by handrubbing the surface with mycelium from older cheeses,
develops on the surface of the cheese. The cheese is inverted daily or at
least every other day, and rubbed or cleaned if necessary. The curing

period is about 4 weeks or somewhat longer.

In the Sogn method, V/z to 2 percent of starter is added to the skim
milk, and it is soured at a temperature of 72° to 75° F.; on the second day,
the milk may be transferred to the cheese vat where souring is completed
at a temperature of 77°. When the milk has reached the desired stage of
souring (a later stage than in the Hardanger method), it is heated slowly
to the boiling point. The whey is removed, and the curd is heated to
about 195°, then placed in forms to drain. The forms are covered with
cloths and kept in a warm place. After the whey has drained oV, the curd
is removed from the forms, crumbled ﬁne, inoculated with mold, and
repressed. The next day the cheeses are removed from the forms, dried
in a warm place for 4 or 5 days, and then taken to the curing room. The
curing process is the same as in the Hardanger method.

In both methods, after the cheese is partly cured, it may be put in chests
lined with straw that has been treated with heated juniper extract. The
yield of cured cheese is between 4 and 5 J / 2 pounds per 100 pounds of skim
milk.","human:What information is available about Gammelost?
bot:Gammelost, made from sour skim milk in Norway (principally in the
counties of Hardanger and Sogn), is a semisoft, blue-mold, ripened table
cheese, with a rather sharp, aromatic ﬂavor. The principal ripening molds
are species of Mucor, Rhizopus, and Penicillium. The rind is brownish
and the interior is brownish-yellow with a blue-green tint; the color darkens
with age. The cheese is round and ﬂat, usually about 6 inches in diameter,
and from 5 to 6 inches thick. It weighs usually between 6 and 9 pounds,
although some cheeses may weigh more than 25 pounds. The cheese is
made by one method in Hardanger and by a slightly diVerent method in
Sogn.

In the Hardanger method, about 0.5 percent of lactic starter is added
to skim milk and, after souring for a day or two at 66° F., it is put into a
vat and warmed slowly to 145°. After about 30 minutes at that temperature, the curd is dipped into cloth bags and pressed heavily. After pressing, the curd is removed from the bags, broken up, and packed in clothlined forms which then are covered and placed in boiling whey for 3/ 2
hours. This practically sterilizes the cheese and changes its texture. The
next day the cheese is removed from the forms and put in a warm place
for a day or two to dry, after which it is pierced with metal needles that
have been inoculated with a mold — Penicillium roquejorti, or a related
species — that develops a greenish-blue mold throughout the cheese. It is
then placed on shelves in a curing room which is maintained at a temperature of 50° to 55° and a relative humidity of 90 percent. A Mucor, which
is propagated by handrubbing the surface with mycelium from older cheeses,
develops on the surface of the cheese. The cheese is inverted daily or at
least every other day, and rubbed or cleaned if necessary. The curing

period is about 4 weeks or somewhat longer.

In the Sogn method, V/z to 2 percent of starter is added to the skim
milk, and it is soured at a temperature of 72° to 75° F.; on the second day,
the milk may be transferred to the cheese vat where souring is completed
at a temperature of 77°. When the milk has reached the desired stage of
souring (a later stage than in the Hardanger method), it is heated slowly
to the boiling point. The whey is removed, and the curd is heated to
about 195°, then placed in forms to drain. The forms are covered with
cloths and kept in a warm place. After the whey has drained oV, the curd
is removed from the forms, crumbled ﬁne, inoculated with mold, and
repressed. The next day the cheeses are removed from the forms, dried
in a warm place for 4 or 5 days, and then taken to the curing room. The
curing process is the same as in the Hardanger method.

In both methods, after the cheese is partly cured, it may be put in chests
lined with straw that has been treated with heated juniper extract. The
yield of cured cheese is between 4 and 5 J / 2 pounds per 100 pounds of skim
milk."
